Date : 2022-03-27 13:40:01
Directory : c:\School\oop_project\TDT4100_prosjekt_ingara
Total : 61 files,  1864 codes, 227 comments, 515 blanks, all 2606 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Queen.java                    | Java               |          6 |          0 |          3 |          9 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Rook.java                     | Java               |          6 |          0 |          4 |         10 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\TerminalChess.java                   | Java               |        187 |          3 |         58 |        248 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\TileTerminalChess.java               | Java               |        185 |          4 |         56 |        245 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\PlayerMove.pseudo         | Generic Pseudocode |         92 |          9 |         57 |        158 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\controller.pseudo         | Generic Pseudocode |         32 |          5 |         21 |         58 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\example.pseudo            | Generic Pseudocode |          2 |          0 |          1 |          3 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\notater.pseudo            | Generic Pseudocode |          2 |          0 |          1 |          3 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\resources\exampleproject\App.fxml                 | XML                |         18 |          0 |          3 |         21 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\resources\project\Chessboard.fxml                 | XML                |        666 |          0 |          4 |        670 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\python\generate_fxml.py                                | Python             |         12 |          0 |          6 |         18 |
| c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\exampleproject\CalculatorTest.java           | Java               |         25 |          0 |          9 |         34 |
| Total                                                                                                    |                    |      1,864 |        227 |        515 |      2,606 |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
